text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
towards,towards,ADP,IN,prep,True,False,1,[u'Deletes a job schedule from the specified account When you delete a job schedule this also deletes all jobs and tasks under that schedule When tasks are deleted all the files in their working directories on the compute nodes are also deleted the retention period is ignored The job schedule statistics are no longer accessible once the job schedule is deleted though they are still counted towards account lifetime statistics ']
hourly,hourly,ADJ,JJ,amod,True,False,1,[u'Update the hourly metrics']
customize,customize,VERB,VBG,conj,True,False,1,[u'Get top 5 policy events in current subscription selecting a subset of properties and customizing ordering ']
sets,sets,PROPN,NNP,compound,True,False,1,[u'Sets Service Bus Geo Disaster Recovery Configuration Alias for the give Namespace']
reach,reach,VERB,VB,advcl,True,False,4,[u'Wait for a container service to reach a desired state ', u'Wait for a managed Kubernetes cluster to reach a desired state ']
quota,quota,NOUN,NN,nsubjpass,True,False,143,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Get the quota usages for a container registry ']
gatewaysubnet,gatewaysubnet,PROPN,NNP,oprd,True,False,2,[u'Name or ID of an existing virtual network which has a subnet named GatewaySubnet ', u'Name or ID of a virtual network that contains a subnet named GatewaySubnet ']
most,most,ADV,RBS,advmod,True,False,13,[u'May be used to limit the number of results to the most recent N billing periods ', u'The time interval between the start times of two successive jobs under the job schedule A job schedule can have at most one active job under it at any given time Because a job schedule can have at most one active job under it at any given time if it is time to create a new job under a job schedule but the previous job is still running the Batch service will not create the new job until the previous job finishes If the previous job does not finish within the startWindow period of the new recurrenceInterval then no new job will be scheduled for that interval For recurring jobs you should normally specify a jobManagerTask in the jobSpecification If you do not use jobManagerTask you will need an external process to monitor when jobs are created add tasks to the jobs and terminate the jobs ready for the next recurrence The default is that the schedule does not recur one job is created within the startWindow after the doNotRunUntil time and the schedule is complete as soon as that job finishes The minimum value is 1 minute If you specify a lower value the Batch service rejects the schedule with an error if you are calling the REST API directly the HTTP status code is 400 Bad Request Expected format is an ISO 8601 duration ']
75,75,NUM,CD,nsubj,False,False,1,[u'Scale to 5 instances when the CPU Percentage across instances is greater than 75 averaged over 10 minutes ']
plan,plan,NOUN,NNS,dobj,True,False,47,[u'Manage app service plans ', u'Name or ID of a DDoS protection plan to associate with the VNet ']
services,services,PROPN,NNPS,compound,True,False,99,[u'The name of the Azure Media Services account ', u'Create a service principal and configure its access to an Azure Media Services account ']
unavailable,unavailable,ADJ,JJ,acomp,True,False,5,[u'Enables automatic failover of the write region in the rare event that the region is unavailable due to an outage Automatic failover will result in a new write region for the account and is chosen based on the failover priorities configured for the account ', u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
kb,kb,PROPN,NNP,pobj,True,False,6,[u' A URL of up to 2 KB in length that specifies an Azure file or blob The value should be URL encoded as it would appear in a request URI If the source is in another account the source must either be public or must be authenticated via a shared access signature If the source is public no authentication is required Examples https myaccount file core windows net myshare mydir myfile https otheraccount file core windows net myshare mydir myfile sastoken', u'Message content up to 64KB in size ']
windows,windows,PROPN,NNP,nmod,True,False,43,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The SSH public key that can be used for remote login to the compute node The public key should be compatible with OpenSSH encoding and should be base 64 encoded This property can be specified only for Linux nodes If this is specified for a Windows node then the Batch service rejects the request if you are calling the REST API directly the HTTP status code is 400 Bad Request ']
clear,clear,VERB,VB,xcomp,True,False,112,[u'space separated tags in key value format Use to clear existing tags ', u'space separated tags in key value format Use to clear existing tags ']
blobprefix,blobprefix,PROPN,NNP,compound,True,False,1,[u' When the request includes this parameter the operation returns a class azure storage blob models BlobPrefix element in the result list that acts as a placeholder for all blobs whose names begin with the same substring up to the appearance of the delimiter character The delimiter may be a single character or a string ']
init,init,NOUN,NN,compound,True,False,8,[u'Custom init script file or text cloud init cloud config etc ', u'Custom init script file or text cloud init cloud config etc ']
clean,clean,VERB,VB,ROOT,True,False,2,[u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ', u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ']
caching,caching,NOUN,NN,amod,True,False,8,[u'Defines the query string caching behavior Possible values include IgnoreQueryString BypassCaching UseQueryString NotSet ', u'Defines the query string caching behavior Possible values include IgnoreQueryString BypassCaching UseQueryString NotSet ']
microsoft,microsoft,NOUN,NN,compound,True,False,109,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'Provider namespace Ex Microsoft Provider ']
particularly,particularly,ADV,RB,advmod,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
cdn,cdn,PROPN,NNP,compound,True,False,75,[u'Create a new CDN profile ', u'The pricing tier defines a CDN provider feature list and rate of the CDN profile Defaults to Standard_Akamai ']
session,session,NOUN,NN,compound,True,False,32,[u'Session identifier', u'Session identifier to reply to ']
passwd,passwd,NOUN,NN,compound,True,False,2,[u'Proxy for pip to use for extension dependencies in the form of user passwd proxy server port', u'Proxy for pip to use for extension dependencies in the form of user passwd proxy server port']
3389,3389,NUM,CD,conj,False,False,1,[u'When creating a new load balancer backend port to open with NAT rules Defaults to 22 on Linux and 3389 on Windows When creating an application gateway the backend port to use for the backend HTTP settings ']
find,find,VERB,VB,acl,True,False,10,[u'Query text to find ', u'Find the available VM extensions for a subscription and region ']
completion,completion,NOUN,NN,compound,True,False,7,[u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ', u'The action the Batch service should take when all tasks in the job are in the completed state If omitted the completion behavior is set to noaction If the current value is terminatejob this is an error because a job s completion behavior may not be changed from terminatejob to noaction You may not change the value from terminatejob to noaction that is once you have engaged automatic job termination you cannot turn it off again If you try to do this the request fails and Batch returns status code 400 Bad Request and an invalid property value error response If you do not specify this element in a PUT request it is equivalent to passing noaction This is an error if the current value is terminatejob ']
vaule1,vaule1,X,FW,compound,False,False,2,[u'storage caching type for data disk s including None ReadOnly ReadWrite etc Use a singular value to apply on all disks or use lun vaule1 lun value2 to configure individual disk', u'storage caching type for data disk s including None ReadOnly ReadWrite etc Use a singular value to apply on all disks or use lun vaule1 lun value2 to configure individual disk']
override,override,VERB,VBZ,ROOT,True,False,8,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Defaults to page for vhd files or block otherwise The setting will override blob types for every file ']
8,8,NUM,CD,conj,False,False,6,[u'Version of Kubernetes to upgrade the cluster to such as 1 7 12 or 1 8 7 ', u'Encoding of the destination file By default will look for the file encoding tag on the secret Otherwise will assume utf 8 ']
hit,hit,VERB,VBN,conj,True,False,134,[u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit', u'Storage account name Related environment variable AZURE_STORAGE_ACCOUNT Must be used in conjunction with either storage account key or a SAS token If neither are present the command will try to query the storage account key using the authenticated Azure account If a large number of storage commands are executed the API quota may be hit']
notation,notation,NOUN,NN,dobj,True,False,25,[u'Apply expression for aggregations using OData notation ', u'Select expression using OData notation ']
permission,permission,NOUN,NNS,ROOT,True,False,56,[u'The permissions the SAS grants Allowed values r ead query a dd u pdate d elete Do not use if a stored access policy is referenced with id that specifies this value Can be combined ', u'The permissions the SAS grants Allowed values c reate d elete r ead w rite Do not use if a stored access policy is referenced with id that specifies this value Can be combined ']
dependent,dependent,ADJ,JJ,amod,True,False,1,[u'Indicates if the delete should be a cascading delete which deletes all resources dependent on the credential as well as the credential or not If false will fail if there are any resources relying on the credential ']
express,express,PROPN,NNP,compound,True,False,14,[u'A boolean value that indicates whether Express Entities are enabled An express topic holds a message in memory temporarily before writing it to persistent storage ', u'A boolean value that indicates whether Express Entities are enabled An express topic holds a message in memory temporarily before writing it to persistent storage ']
resutls,resutls,NOUN,NN,dobj,True,False,1,[u' Specifies the maximum number of containers to return A single list request may return up to 1000 contianers and potentially a continuation token which should be followed to get additional resutls ']
valuable,valuable,ADJ,JJ,acomp,True,False,4,[u' If true calculates an MD5 hash for each range of the file The storage service checks the hash of the content that has arrived with the hash that was sent This is primarily valuable for detecting bitflips on the wire if using http instead of https as https the default will already validate Note that this MD5 hash is not stored with the file ', u' If set to true validates an MD5 hash for each retrieved portion of the file This is primarily valuable for detecting bitflips on the wire if using http instead of https as https the default will already validate Note that the service will only return transactional MD5s for chunks 4MB or less so the first get request will be of size self MAX_CHUNK_GET_SIZE instead of self MAX_SINGLE_GET_SIZE If self MAX_CHUNK_GET_SIZE was set to greater than 4MB an error will be thrown As computing the MD5 takes processing time and more requests will need to be done due to the reduced chunk size there may be some increase in latency ']
cert1,cert1,NOUN,NN,compound,False,False,1,[u'Space separated list of key vault secret URIs Perhaps produced by az keyvault secret list versions vault name vaultname n cert1 query attributes enabled id o tsv ']
reply,reply,VERB,VB,relcl,True,False,4,[u'Session identifier to reply to ', u'Address of the queue to reply to ']
during,during,ADP,IN,prep,True,False,23,[u'Get latest policy states in current subscription during a custom time interval ', u'Marks the specified file for deletion The file is later deleted during garbage collection ']
queueservice,queueservice,PROPN,NNP,pobj,True,False,1,[u'Generates a shared access signature for the queue Use the returned signature with the sas_token parameter of QueueService ']
restart,restart,VERB,VB,ROOT,True,False,11,[u'Restart VMs ', u'Restart a VM ']
elapse,elapse,VERB,VB,xcomp,True,False,3,[u'Breaks the lease if the blob has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the blob When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired A lease that has been broken can also be released in which case another client may immediately acquire the lease on the blob ', u'The number of minutes that must elapse before another scaling event can occur ']
resolve,resolve,VERB,VBP,relcl,True,False,2,[u'Space separated names or IDs of virtual networks that resolve records in this DNS zone ', u'Space separated names or IDs of virtual networks that resolve records in this DNS zone ']
remove,remove,VERB,VB,ROOT,True,False,477,[u'Remove a property or an element from a list Example remove property list indexToRemove OR remove propertyToRemove', u'Remove a property or an element from a list Example remove property list indexToRemove OR remove propertyToRemove']
common,common,ADJ,JJ,amod,True,False,4,[u'Add a common name or certificate thumbprint to the cluster for client authentication ', u'client certificate common name ']
activity,activity,NOUN,NN,pobj,True,False,32,[u'Remove action groups from this activity log alert', u'Name of the activity log alerts']
x,x,PROPN,NNP,nmod,True,False,21,[u'Primary X 509 certificate thumbprint to authenticate device ', u'Secondary X 509 certificate thumbprint to authenticate device ']
arp,arp,PROPN,NNP,compound,True,False,2,[u'Show the current Address Resolution Protocol ARP table of an ExpressRoute circuit ', u'Show the current Address Resolution Protocol ARP table of an ExpressRoute circuit ']
set,set,NOUN,NNS,compound,True,False,1031,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Batch account name Alternatively set by environment variable AZURE_BATCH_ACCOUNT']
dw100,dw100,NOUN,NNS,compound,False,False,2,[u'The service objective of the data warehouse For example DW100 DW1000c', u'The service objective for the new database For example DW100 DW1000c']
seq,seq,NOUN,NNS,attr,True,False,16,[u'The pattern used for globbing files or blobs in the source The supported patterns are seq and seq ', u'The pattern used for globbing files or blobs in the source The supported patterns are seq and seq ']
startup,startup,NOUN,NN,compound,True,False,3,[u'Linux only The web s startup file', u'The startup file for linux hosted web apps e g process json for Node js web']
differentiation,differentiation,NOUN,NN,pobj,True,False,2,[u'The name of the trusted identity provider This is used for differentiation of providers in the account ', u'The name of the trusted identity provider This is used for differentiation of providers in the account ']
see,see,VERB,VBN,amod,True,False,74,[u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ', u'Expand the response to provide more details Use with command to see more details of the Task Use with output to see the results of the Task s migration ']
individual,individual,ADJ,JJ,amod,True,False,17,[u'Space separated list of rule groups to disable To disable individual rules use disabled rules ', u'enable disable disk write accelerator Use singular value true false to apply across or specify individual disks e g os true 1 true 2 true for os disk and data disks with lun of 1 2']
sec,sec,NOUN,NNS,advmod,True,False,5,[u'The socket timeout secs used by the service to regulate data flow ', u'The socket timeout secs used by the service to regulate data flow ']
migration,migration,NOUN,NN,compound,True,False,17,[u'Show the details of a migration Task Use the expand to get more details ', u'Expand the response to provide more details Use with command to see more details of the Task Use with output to see the results of the Task s migration ']
close,close,ADJ,JJ,amod,True,False,1,[u'Close access to the recovery point ']
resouce,resouce,NOUN,NN,compound,True,False,1,[u'Name of the resouce group to create the copy in If unspecified defaults to the origin resource group ']
arm,arm,PROPN,NNP,compound,True,False,25,[u'Get the details of an ARM template in a lab ', u'Name if within the same resource group or ARM Id of Primary Secondary eventhub namespace name which is part of GEO DR pairing']
preparation,preparation,NOUN,NN,pobj,True,False,6,[u'View the status of Batch job preparation and release tasks ', u'Lists the execution status of the Job Preparation and Job Release task for the specified job across the compute nodes where the job has run This API returns the Job Preparation and Job Release task status on all compute nodes that have run the Job Preparation or Job Release task This includes nodes which have since been removed from the pool If this API is invoked on a job which has no Job Preparation or Job Release task the Batch service returns HTTP status code 409 Conflict with an error code of JobPreparationTaskNotSpecified ']
terminatereason,terminatereason,PROPN,NNP,appos,True,False,1,[u'The text you want to appear as the job s TerminateReason The default is UserTerminate ']
currently,currently,ADV,RB,advmod,True,False,29,[u'This property is reserved for future use An integer value showing the compatibility level currently hard coded to 20 ', u'Lists the deleted certificates in the specified vault currently available for recovery The GetDeletedCertificates operation retrieves the certificates in the current vault which are in a deleted state and ready for recovery or purging ']
please,please,INTJ,UH,intj,True,False,3,[u'Resource ID or resource name If a name is given please provide the resource group and other relevant resource id arguments ', u'Resource ID or resource name If a name is given please provide the resource group and other relevant resource id arguments ']
idle,idle,ADJ,JJ,amod,True,False,17,[u'Idle timeout in minutes ', u'ISO 8601 timespan or duration time format for idle interval after which the topic is automatically deleted The minimum duration is 5 minutes ']
consecutive,consecutive,ADJ,JJ,amod,True,False,5,[u'The number of consecutive probe failures before an instance is deemed unhealthy ', u'The time interval in seconds between consecutive probes ']
rite,rite,NOUN,NN,pobj,True,False,9,[u'The permissions the SAS grants Allowed values c reate d elete r ead w rite Do not use if a stored access policy is referenced with id that specifies this value Can be combined ', u'Allowed values d elete l ist r ead w rite Can be combined']
westindia,westindia,NOUN,NN,dobj,True,False,13,[u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 Use API version of ACS to perform az acs operations Available options 2017 01 31 2017 07 01 Default the latest version for the location', u'Feature in preview only in canadacentral canadaeast centralindia koreasouth koreacentral southindia uksouth ukwest westcentralus westindia westus2 The disk size for master pool vms Unit in GB Default corresponding vmsize disk size']
concatenate,concatenate,VERB,VBN,relcl,True,False,3,[u'Space separated list of text values which will be concatenated together ', u'Space separated list of text values which will be concatenated together ']
recently,recently,ADV,RB,advmod,True,False,2,[u'Gets the approximate size of the data stored on the share rounded up to the nearest gigabyte Note that this value may not include all recently created or recently resized files ', u'Gets the approximate size of the data stored on the share rounded up to the nearest gigabyte Note that this value may not include all recently created or recently resized files ']
customscript,customscript,PROPN,NNP,compound,True,False,1,[u'Show the CustomScript extension version 2 0 2 ']
javascript,javascript,PROPN,NNP,nmod,True,False,2,[u'Pre load Javascript and CSS content for an endpoint ', u'Purge pre loaded Javascript and CSS content ']
incident,incident,NOUN,NNS,dobj,True,False,3,[u'List all incidents for an alert rule ', u'Get the details of an alert rule incident ']
succeed,succeed,VERB,VBZ,ROOT,True,False,33,[u' If specified get_container_acl only succeeds if the container s lease is active and matches this ID ', u'wait until created with provisioningState at Succeeded ']
selectively,selectively,ADV,RB,advmod,True,False,1,[u'Create a deployment from a local template using a parameter file and selectively overriding key value pairs ']
premise,premise,NOUN,NNS,compound,True,False,9,[u'Use an Azure Virtual Network Gateway to establish secure cross premises connectivity ', u'license type if the Windows image or disk used was licensed on premises']
allowmanageddisksreplaceosdisk,allowmanageddisksreplaceosdisk,NOUN,NN,nsubjpass,True,False,1,[u'Managed OS disk ID or name to swap to Feature registration for Microsoft Compute AllowManagedDisksReplaceOSDisk is needed']
interface,interface,NOUN,NNS,pobj,True,False,44,[u'Gets information about all network interfaces in a virtual machine in a virtual machine scale set ', u'Get the details of a network interface ']
both,both,CCONJ,CC,det,True,False,23,[u'Only permit requests made with the HTTPS protocol If omitted requests from both the HTTP and HTTPS protocol are permitted ', u'Only permit requests made with the HTTPS protocol If omitted requests from both the HTTP and HTTPS protocol are permitted ']
c,c,X,FW,compound,True,False,24,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ']
last,last,ADJ,JJ,amod,True,False,106,[u'The etag of the record set Omit this value to always overwrite the current record set Specify the last seen etag value to prevent accidentally overwritting any concurrent changes ', u'Get policy events at current subscription scope created in the last day ']
delimit,delimit,VERB,VBN,acl,True,False,700,[u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ', u'One or more resource IDs space delimited If provided no other Resource Id arguments should be specified ']
license,license,NOUN,NN,compound,True,False,19,[u'The license type to apply for this database Possible values include LicenseIncluded BasePrice ', u'The license type to apply for this elastic pool Possible values include LicenseIncluded BasePrice ']
donotrunafter,donotrunafter,ADJ,JJ,amod,True,False,3,[u'A time after which no job will be created under this job schedule The schedule will move to the completed state as soon as this deadline is past and there is no active job under this job schedule If you do not specify a doNotRunAfter time and you are creating a recurring job schedule the job schedule will remain active until you explicitly terminate it Expected format is an ISO 8601 timestamp ', u'A time after which no job will be created under this job schedule The schedule will move to the completed state as soon as this deadline is past and there is no active job under this job schedule If you do not specify a doNotRunAfter time and you are creating a recurring job schedule the job schedule will remain active until you explicitly terminate it Expected format is an ISO 8601 timestamp ']
interrogate,interrogate,VERB,VB,relcl,True,False,4,[u'The port to interrogate ', u'The endpoint to interrogate http only ']
sensitive,sensitive,ADJ,JJ,amod,True,False,3,[u'Protected settings in JSON format for sensitive information like credentials A JSON file path is also accepted ', u'Specify to indicate whether the subject fields should be compared in a case sensitive manner True if flag present ']
connection,connection,NOUN,NN,compound,True,False,302,[u'Storage account connection string Environment variable AZURE_STORAGE_CONNECTION_STRING', u'Cosmos DB account url connection Must be used in conjunction with cosmosdb account key ']
context,context,NOUN,NN,nsubj,True,False,1,[u'Queue a local context validating the build is successful without pushing to the registry ']
vault,vault,NOUN,NNS,pobj,True,False,227,[u'Gets information about the deleted vaults in a subscription ', u'Name of the key vault ']
protector,protector,NOUN,NN,dobj,True,False,4,[u'Sets the server s encryption protector ', u'The Azure Key Vault key identifier of the server key to be made encryption protector An example key identifier is https YourVaultName vault azure net keys YourKeyName 01234567890123456789012345678901 ']
load,load,NOUN,NN,compound,True,False,123,[u'The name of the load balancer ', u'The load balancer name ']
bypasscaching,bypasscaching,NOUN,NN,compound,True,False,2,[u'Defines the query string caching behavior Possible values include IgnoreQueryString BypassCaching UseQueryString NotSet ', u'Defines the query string caching behavior Possible values include IgnoreQueryString BypassCaching UseQueryString NotSet ']
consume,consume,VERB,VB,ROOT,True,False,2,[u'The maximum capacity in DTUs or vcores any one database can consume ', u'The maximum capacity in DTUs or vcores any one database can consume ']
supply,supply,VERB,VBN,amod,True,False,66,[u'Alter only if unmodified since supplied UTC datetime Y m d T H M Z ', u'Alter only if modified since supplied UTC datetime Y m d T H M Z ']
simple,simple,ADJ,JJ,amod,True,False,3,[u'Space separated list of extra URLs of package indexes to use This should point to a repository compliant with PEP 503 the simple repository API or a local directory laid out in the same format ', u'Space separated list of extra URLs of package indexes to use This should point to a repository compliant with PEP 503 the simple repository API or a local directory laid out in the same format ']
userprincipalname,userprincipalname,ADJ,JJ,pobj,True,False,1,[u'This must be specified if you are using a federated domain for the user s userPrincipalName UPN property when creating a new user account It is used to associate an on premises Active Directory user account with their Azure AD user object ']
community,community,NOUN,NNS,dobj,True,False,3,[u'Gets all the available BGP service communities ', u'Gets all the available BGP service communities ']
header,header,NOUN,NN,dobj,True,False,86,[u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag does not match the value specified Specify the wildcard character to perform the operation only if the resource does not exist and fail the operation if it does exist ', u' An ETag value or the wildcard character Specify this header to perform the operation only if the resource s ETag matches the value specified ']
purgedeletedcertificate,purgedeletedcertificate,NOUN,NN,compound,True,False,1,[u'Permanently deletes the specified deleted certificate The PurgeDeletedCertificate operation performs an irreversible deletion of the specified certificate without possibility for recovery The operation is not available if the recovery level does not specify Purgeable Requires the explicit granting of the purge permission ']
eviction,eviction,NOUN,NN,compound,True,False,1,[u' PREVIEW the eviction policy for virtual machines in a low priority scale set ']
simply,simply,ADV,RB,advmod,True,False,1,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ']
linux,linux,PROPN,NNP,pobj,True,False,52,[u'The command line of the Job Manager task The command line does not run under a shell and therefore cannot take advantage of shell features such as environment variable expansion If you want to take advantage of such features you should invoke the shell in the command line for example using cmd c MyCommand in Windows or bin sh c MyCommand in Linux If the command line refers to file paths it should use a relative path relative to the task working directory or use the Batch provided environment variable https docs microsoft com en us azure batch batch compute node environment variables ', u'The time at which the account should expire If omitted the default is 1 day from the current time For Linux compute nodes the expiryTime has a precision up to a day Expected format is an ISO 8601 timestamp ']
indefinite,indefinite,ADJ,JJ,amod,True,False,1,[u'How many days to keep a backup before automatically deleting it Set to 0 for indefinite retention']
expensive,expensive,ADJ,JJ,acomp,True,False,2,[u' If set to 2 or greater an initial get will be done for the first self MAX_SINGLE_GET_SIZE bytes of the file If this is the entire file the method returns at this point If it is not it will download the remaining data parallel using the number of threads equal to max_connections Each chunk will be of size self MAX_CHUNK_GET_SIZE If set to 1 a single large get request will be done This is not generally recommended but available if very few threads should be used network requests are very expensive or a non seekable stream prevents parallel download This may also be valuable if the file is being concurrently modified to enforce atomicity or if many files are expected to be empty as an extra request is required for empty files if max_connections is greater than 1 ', u' If set to 2 or greater an initial get will be done for the first self MAX_SINGLE_GET_SIZE bytes of the blob If this is the entire blob the method returns at this point If it is not it will download the remaining data parallel using the number of threads equal to max_connections Each chunk will be of size self MAX_CHUNK_GET_SIZE If set to 1 a single large get request will be done This is not generally recommended but available if very few threads should be used network requests are very expensive or a non seekable stream prevents parallel download This may also be useful if many blobs are expected to be empty as an extra request is required for empty blobs if max_connections is greater than 1 ']
backend,backend,NOUN,NN,compound,True,False,39,[u'The name of the backend address pool', u'The name of the backend address pool ']
java,java,NOUN,NN,compound,True,False,5,[u'The java container e g Tomcat Jetty', u'The version used to run your web app if using Java e g 1 7 for Java 7 1 8 for Java 8']
monthly,monthly,ADJ,JJ,conj,True,False,3,[u'List reservation summaries for daily or monthly by order Id or reservation id ', u'Reservation summary grain Possible values are daily or monthly ']
create,create,VERB,VBN,relcl,True,False,714,[u'The maximum elapsed time that the job may run measured from the time the job is created If the job does not complete within the time limit the Batch service terminates it and any tasks that are still running In this case the termination reason will be MaxWallClockTimeExpiry If this property is not specified there is no time limit on how long the job may run Expected format is an ISO 8601 duration ', u'Create an empty PTR record set ']
due,due,ADP,IN,prep,True,False,10,[u'Enables automatic failover of the write region in the rare event that the region is unavailable due to an outage Automatic failover will result in a new write region for the account and is chosen based on the failover priorities configured for the account ', u'The time interval starting from the time at which the schedule indicates a job should be created within which a job must be created If a job is not created within the startWindow interval then the opportunity is lost no job will be created until the next recurrence of the schedule If the schedule is recurring and the startWindow is longer than the recurrence interval then this is equivalent to an infinite startWindow because the job that is due in one recurrenceInterval is not carried forward into the next recurrence interval The default is infinite The minimum value is 1 minute If you specify a lower value the Batch service rejects the schedule with an error if you are calling the REST API directly the HTTP status code is 400 Bad Request Expected format is an ISO 8601 duration ']
fileproperties,fileproperties,PROPN,NNP,pobj,True,False,1,[u'Returns all user defined metadata standard HTTP properties and system properties for the file Returns an instance of class azure storage file models File with class azure storage file models FileProperties and a metadata dict ']
secret,secret,NOUN,NNS,dobj,True,False,124,[u'Manage secrets of an Azure DevTest Lab ', u'Radius secret to use for authentication ']
maintenance,maintenance,NOUN,NN,dobj,True,False,2,[u'Perform maintenance on one or more virtual machines in a VM scale set ', u'The operation to perform maintenance on a virtual machine ']
empty,empty,ADJ,JJ,amod,True,False,52,[u'Create an empty PTR record set ', u'Create an empty PTR record set ']
