text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
peek_message,peek_message,NOUN,NNS,pobj,False,False,1,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
batchservice,batchservice,PROPN,NNP,pobj,True,False,1,[u'Gets the account keys for the specified Batch account This operation applies only to Batch accounts created with a poolAllocationMode of BatchService If the Batch account was created with a poolAllocationMode of UserSubscription clients cannot use access to keys to authenticate and must use Azure Active Directory instead In this case getting the keys will fail ']
filesystem,filesystem,NOUN,NN,amod,True,False,3,[u'Manage Data Lake Store filesystem access and permissions ', u' PREVIEW Manage a Data Lake Store filesystem ']
url,url,NOUN,NN,compound,True,False,15,[u'Get the details of a URL path map ', u'Delete a rule of a URL path map ']
clear,clear,VERB,VB,ROOT,True,False,4,[u'Clear all subscriptions from the CLI s local cache ', u'Update or clear SSL policy settings ']
later,later,ADV,RB,advmod,True,False,6,[u'Marks the specified file for deletion The file is later deleted during garbage collection ', u'Deletes the specified table and any data it contains When a table is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The table is later removed from the Table service during garbage collection Note that deleting a table is likely to take at least 40 seconds to complete If an operation is attempted against the table while it was being deleted an class AzureConflictHttpError will be thrown ']
request,request,NOUN,NN,nsubjpass,True,False,22,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Renews the lease The lease can be renewed if the lease ID specified on the request matches that associated with the blob Note that the lease may be renewed even if it has expired as long as the blob has not been modified or leased again since the expiration of that lease When you renew a lease the lease duration clock resets ']
uri,uri,PROPN,NNP,dobj,True,False,5,[u'Get the service URI and custom headers for the webhook ', u'Deletes a deployment from the deployment history A template deployment that is currently running cannot be deleted Deleting a template deployment removes the associated deployment operations Deleting a template deployment does not affect the state of the resource group This is an asynchronous operation that returns a status of 202 until the template deployment is successfully deleted The Location response header contains the URI that is used to obtain the status of the process While the process is running a call to the URI in the Location header returns a status of 202 When the process finishes the URI in the Location header returns a status of 204 on success If the asynchronous request failed the URI in the Location header returns an error level status code ']
vnet,vnet,PROPN,NNP,compound,True,False,1,[u'List which services support VNET service tunneling in a given region ']
targetosversion,targetosversion,NOUN,NN,cc,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
script,script,NOUN,NN,dobj,True,False,1,[u'Download a script which mounts files of a recovery point ']
prepare,prepare,VERB,VBG,amod,True,False,1,[u'Gets the task counts for the specified job Task counts provide a count of the tasks by active running or completed task state and a count of tasks which succeeded or failed Tasks in the preparing state are counted as running If the validationStatus is unvalidated then the Batch service has not been able to check state counts against the task states as reported in the List Tasks API The validationStatus may be unvalidated if the job contains more than 200 000 tasks ']
snapshot,snapshot,NOUN,NN,dobj,True,False,17,[u'Creates a snapshot of an existing share under the specified account ', u'Gets information about a snapshot ']
clean,clean,VERB,VB,ROOT,True,False,2,[u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ', u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ']
databases,databases,PROPN,NNPS,dobj,True,False,1,[u'Manage Azure SQL Databases and Data Warehouses ']
consumer,consumer,NOUN,NN,compound,True,False,5,[u'Get the details for an event hub consumer group ', u' PREVIEW Manage the event hub consumer groups of an IoT hub ']
microsoft,microsoft,NOUN,NN,compound,True,False,2,[u'Creates a tag in the subscription The tag name can have a maximum of 512 characters and is case insensitive Tag names created by Azure have prefixes of microsoft azure or windows You cannot create tags with one of these prefixes ', u'Restores a backed up key to a vault Imports a previously backed up key into Azure Key Vault restoring the key its key identifier attributes and access control policies The RESTORE operation may be used to import a previously backed up key Individual versions of a key cannot be restored The key is restored in its entirety with the same key name as it had when it was backed up If the key name is not available in the target Key Vault the RESTORE operation will be rejected While the key name is retained during restore the final key identifier will change if the key is restored to a different vault Restore will restore all versions and preserve version identifiers The RESTORE operation is subject to security constraints The target Key Vault must be owned by the same Microsoft Azure Subscription as the source Key Vault The user must have RESTORE permission in the target Key Vault ']
re,re,VERB,VBP,aux,True,False,1,[u'Invokes Service Bus Geo Disaster Recovery Configuration Alias failover and re configure the alias to point to the secondary namespace']
signatures,signatures,PROPN,NNPS,pobj,True,False,1,[u'Sets the permissions for the specified container or stored access policies that may be used with Shared Access Signatures The permissions indicate whether blobs in a container may be accessed publicly ']
particularly,particularly,ADV,RB,advmod,True,False,1,[u'Upgrades the operating system of the specified pool During an upgrade the Batch service upgrades each compute node in the pool When a compute node is chosen for upgrade any tasks running on that node are removed from the node and returned to the queue to be rerun later or on a different compute node The node will be unavailable until the upgrade is complete This operation results in temporarily reduced pool capacity as nodes are taken out of service to be upgraded Although the Batch service tries to avoid upgrading all compute nodes at the same time it does not guarantee to do this particularly on small pools therefore the pool may be temporarily unavailable to run tasks When this operation runs the pool state changes to upgrading When all compute nodes have finished upgrading the pool state returns to active While the upgrade is in progress the pool s currentOSVersion reflects the OS version that nodes are upgrading from and targetOSVersion reflects the OS version that nodes are upgrading to Once the upgrade is complete currentOSVersion is updated to reflect the OS version now running on all nodes This operation can only be invoked on pools created with the cloudServiceConfiguration property ']
show,show,VERB,VBZ,ROOT,True,False,113,[u'Shows the Service Bus Namespace details', u'Show the authentification settings for the webapp ']
cdn,cdn,PROPN,NNP,compound,True,False,28,[u'Create a new CDN profile ', u'List available endpoints for a CDN ']
probe,probe,NOUN,NNS,dobj,True,False,13,[u'Manage probes to gather and evaluate information on a gateway ', u'Evaluate probe information and define routing rules ']
terminate,terminate,VERB,VBZ,ROOT,True,False,14,[u'Terminates a job schedule ', u'Terminate a job ']
poolid,poolid,NOUN,NN,pobj,True,False,1,[u'Lists the usage metrics aggregated by pool across individual time intervals for the specified account If you do not specify a filter clause including a poolId the response includes all pools that existed in the account in the time range of the returned aggregation intervals If you do not specify a filter clause including a startTime or endTime these filters default to the start and end times of the last aggregation interval currently available that is only the last aggregation interval is returned ']
determine,determine,VERB,VB,xcomp,True,False,4,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ', u'Retrieves statistics related to replication for the Queue service It is only available when read access geo redundant replication is enabled for the storage account With geo redundant replication Azure Storage maintains your data durable in two locations In both locations Azure Storage constantly maintains multiple healthy replicas of your data The location where you read create update or delete data is the primary storage account location The primary location exists in the region you choose at the time you create an account via the Azure Management Azure classic portal for example North Central US The location to which your data is replicated is the secondary location The secondary location is automatically determined based on the location of the primary it is in a second data center that resides in the same region as the primary location Read only access is available from the secondary location if read access geo redundant replication is enabled for your storage account ']
session,session,NOUN,NN,dobj,True,False,8,[u'Stop a running packet capture session ', u'Manage Network Watcher troubleshooting sessions ']
unmanaged,unmanaged,ADJ,JJ,amod,True,False,4,[u'Attach an unmanaged persistent disk to a VM ', u'Convert a VM with unmanaged disks to use managed disks ']
continually,continually,ADV,RB,advmod,True,False,2,[u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ', u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
next,next,ADJ,JJ,amod,True,False,3,[u'Gets the first page of Azure Storage accounts if any linked to the specified Data Lake Analytics account The response includes a link to the next page if any ', u'Gets the first page of Data Lake Store accounts linked to the specified Data Lake Analytics account The response includes a link to the next page if any ']
availability,availability,NOUN,NN,compound,True,False,13,[u'Group resources into availability sets ', u'check for the availability of the given name for the Namespace']
principal,principal,NOUN,NN,dobj,True,False,15,[u'Create a service principal and configure its access to an Azure Media Services account ', u'list a service principal s credentials ']
slot,slot,NOUN,NNS,pobj,True,False,8,[u'Display the current distribution of traffic across slots ', u'Configure deployment slot auto swap ']
access,access,NOUN,NN,compound,True,False,91,[u'Generates a shared access signature for the table Use the returned signature with the sas_token parameter of TableService ', u'List stored access policies on a containing object']
execution,execution,NOUN,NN,compound,True,False,1,[u'Lists the execution status of the Job Preparation and Job Release task for the specified job across the compute nodes where the job has run This API returns the Job Preparation and Job Release task status on all compute nodes that have run the Job Preparation or Job Release task This includes nodes which have since been removed from the pool If this API is invoked on a job which has no Job Preparation or Job Release task the Batch service returns HTTP status code 409 Conflict with an error code of JobPreparationTaskNotSpecified ']
upgrade,upgrade,NOUN,NN,dobj,True,False,23,[u'Cancels the current virtual machine scale set rolling upgrade ', u' PREVIEW Upgrade the ACI Connector on a managed Kubernetes cluster ']
based,based,PROPN,NNP,compound,True,False,1,[u'Manage Azure Active Directory Graph entities needed for Role Based Access Control']
devtest,devtest,PROPN,NNP,compound,True,False,15,[u'Manage DevTest Labs artifacts ', u'Manage secrets of an Azure DevTest Lab ']
true,true,ADJ,JJ,oprd,True,False,4,[u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ', u'Deletes the specified empty directory Note that the directory must be empty before it can be deleted Attempting to delete directories that are not empty will fail If the directory does not exist the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_not_exist ']
cache,cache,VERB,VBN,acl,True,False,23,[u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ', u'Clear all subscriptions from the CLI s local cache ']
3,3,NUM,CD,compound,False,False,2,[u'Upload a file to a share that uses the SMB 3 0 protocol ', u'Manage file shares that use the SMB 3 0 protocol ']
should,should,VERB,MD,aux,True,False,3,[u'Sets a server to which DNS alias should point', u'Upload Azure Batch service log files from the specified compute node to Azure Blob Storage This is for gathering Azure Batch service log files in an automated fashion from nodes if you are experiencing an error and wish to escalate to Azure support The Azure Batch service log files should be shared with Azure support to aid in debugging issues with the Batch service ']
analytic,analytic,NOUN,NNS,pobj,True,False,1,[u'Gets the properties of a storage account s Blob service including Azure Storage Analytics ']
only,only,ADV,RB,advmod,True,False,30,[u'Gets the settings required for remote login to a compute node Before you can remotely login to a node using the remote login settings you must create a user account on the node This API can be invoked only on pools created with the virtual machine configuration property For pools created with a cloud service configuration see the GetRemoteDesktop API ', u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ']
experiment,experiment,NOUN,NN,pobj,True,False,5,[u'Show information about an experiment ', u'List experiments ']
dict,dict,NOUN,NN,conj,True,False,4,[u'Returns all user defined metadata standard HTTP properties and system properties for the file Returns an instance of class azure storage file models File with class azure storage file models FileProperties and a metadata dict ', u'Sets one or more user defined name value pairs for the specified directory Each call to this operation replaces all existing metadata attached to the directory To remove all metadata from the directory call this operation with no metadata dict ']
untag,untag,VERB,VB,ROOT,True,False,1,[u'Untag an image in a container registry ']
override,override,VERB,VBZ,ROOT,True,False,2,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Deletes a pool from the specified account When you request that a pool be deleted the following actions occur the pool state is set to deleting any ongoing resize operation on the pool are stopped the Batch service starts resizing the pool to zero nodes any tasks running on existing nodes are terminated and requeued as if a resize pool operation had been requested with the default requeue option finally the pool is removed from the system Because running tasks are requeued the user can rerun these tasks by updating their job to target a different pool The tasks can then run on the new pool If you want to override the requeue behavior then you should call resize pool explicitly to shrink the pool to zero size before deleting the pool If you call an Update Patch or Delete API on a pool in the deleting state it will fail with HTTP status code 409 with error code PoolBeingDeleted ']
folder,folder,NOUN,NN,conj,True,False,14,[u'Get file or folder information in a Data Lake Store account ', u'Set the permissions for a file or folder in a Data Lake Store account ']
local,local,ADJ,JJ,amod,True,False,17,[u'Clear all subscriptions from the CLI s local cache ', u'Place the CLI in a waiting state until a condition of the local gateway is met ']
getremotedesktop,getremotedesktop,PROPN,NNP,compound,True,False,1,[u'Gets the settings required for remote login to a compute node Before you can remotely login to a node using the remote login settings you must create a user account on the node This API can be invoked only on pools created with the virtual machine configuration property For pools created with a cloud service configuration see the GetRemoteDesktop API ']
info,info,NOUN,NN,dobj,True,False,2,[u'display VM s managed identity info ', u'display VM scaleset s managed identity info ']
above,above,ADP,IN,prep,True,False,1,[u'Resizes a file to the specified size If the specified byte value is less than the current size of the file then all ranges above the specified byte value are cleared ']
invoke,invoke,VERB,VB,ROOT,True,False,8,[u'Invoke an action on the resource ', u'Gets the settings required for remote login to a compute node Before you can remotely login to a node using the remote login settings you must create a user account on the node This API can be invoked only on pools created with the virtual machine configuration property For pools created with a cloud service configuration see the GetRemoteDesktop API ']
get,get,VERB,VB,ROOT,True,False,282,[u'Get the quota usages for a container registry ', u'Get the details of a public IP address ']
express,express,ADJ,JJ,amod,True,False,1,[u'Get the details of an express route peering ']
db,db,PROPN,NNP,compound,True,False,23,[u'Updates an Azure Cosmos DB collection ', u'List the access keys for a Azure Cosmos DB database account ']
dc,dc,PROPN,NNP,compound,True,False,3,[u'Download and install the DC OS command line tool for a cluster ', u'Creates an SSH tunnel to the Azure container service and opens the Mesosphere DC OS dashboard in the browser ']
likely,likely,ADJ,JJ,acomp,True,False,2,[u'Deletes the specified table and any data it contains When a table is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The table is later removed from the Table service during garbage collection Note that deleting a table is likely to take at least 40 seconds to complete If an operation is attempted against the table while it was being deleted an class AzureConflictHttpError will be thrown ', u'Deletes the specified queue and any messages it contains When a queue is successfully deleted it is immediately marked for deletion and is no longer accessible to clients The queue is later removed from the Queue service during garbage collection Note that deleting a queue is likely to take at least 40 seconds to complete If an operation is attempted against the queue while it was being deleted an class AzureConflictHttpError will be thrown ']
listener,listener,NOUN,NNS,ROOT,True,False,6,[u'List HTTP listeners ', u'Manage HTTP listeners of an application gateway ']
ssl,ssl,PROPN,NNP,nmod,True,False,27,[u'Gets SSL predefined policy with the specified policy name ', u'Delete an SSL certificate ']
ssh,ssh,NOUN,NN,compound,True,False,2,[u'Reset the SSH configuration on a VM ', u'Creates an SSH tunnel to the Azure container service and opens the Mesosphere DC OS dashboard in the browser ']
reversal,reversal,NOUN,NN,dobj,True,False,1,[u'Recovers the deleted certificate back to its current version under certificates The RecoverDeletedCertificate operation performs the reversal of the Delete operation The operation is applicable in vaults enabled for soft delete and must be issued during the retention interval available in the deleted certificate s attributes ']
import,import,VERB,VB,nsubj,True,False,11,[u'Import a private key Supports importing base64 encoded private keys from PEM files Supports importing BYOK keys into HSM for premium KeyVaults ', u'Import a private key Supports importing base64 encoded private keys from PEM files Supports importing BYOK keys into HSM for premium KeyVaults ']
report,report,VERB,VBN,advcl,True,False,1,[u'Gets the task counts for the specified job Task counts provide a count of the tasks by active running or completed task state and a count of tasks which succeeded or failed Tasks in the preparing state are counted as running If the validationStatus is unvalidated then the Batch service has not been able to check state counts against the task states as reported in the List Tasks API The validationStatus may be unvalidated if the job contains more than 200 000 tasks ']
during,during,ADP,IN,prep,True,False,12,[u'Marks the specified file for deletion The file is later deleted during garbage collection ', u'Recovers the deleted certificate back to its current version under certificates The RecoverDeletedCertificate operation performs the reversal of the Delete operation The operation is applicable in vaults enabled for soft delete and must be issued during the retention interval available in the deleted certificate s attributes ']
queueservice,queueservice,PROPN,NNP,pobj,True,False,1,[u'Generates a shared access signature for the queue Use the returned signature with the sas_token parameter of QueueService ']
entity,entity,NOUN,NN,ROOT,True,False,21,[u'Entity which contains details of the job ', u'Get an entity from the specified table Throws if the entity does not exist ']
geo,geo,NOUN,NN,compound,True,False,26,[u'Manage Azure Event Hubs namespaces eventhubs consumergroups and geo recovery configurations Alias', u'Check if Geo Recovery Alias Name is available']
reinstall,reinstall,NOUN,NNS,ROOT,True,False,2,[u'Reinstalls the operating system on the specified compute node You can reinstall the operating system on a node only if it is in an idle or running state This API can be invoked only on pools created with the cloud service configuration property ', u'Reinstalls the operating system on the specified compute node You can reinstall the operating system on a node only if it is in an idle or running state This API can be invoked only on pools created with the cloud service configuration property ']
restart,restart,VERB,VB,ROOT,True,False,6,[u'Restart VMs ', u'Restart a function app ']
secondary,secondary,ADJ,JJ,amod,True,False,19,[u'Create a database as a readable secondary replica of an existing database ', u'Disables Geo Disaster Recovery Configuration Alias and stops replicating changes from primary to secondary namespaces']
well,well,ADV,RB,advmod,True,False,4,[u'Check if a given Project name is available within a given instance of DMS as well as the name s validity ', u'Check if a given DMS instance name is available in a given region as well as the name s validity ']
elapse,elapse,VERB,VB,xcomp,True,False,2,[u'Breaks the lease if the blob has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the blob When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired A lease that has been broken can also be released in which case another client may immediately acquire the lease on the blob ', u'Break the lease if the container has an active lease Once a lease is broken it cannot be renewed Any authorized request can break the lease the request is not required to specify a matching lease ID When a lease is broken the lease break period is allowed to elapse during which time no lease operation except break and release can be performed on the container When a lease is successfully broken the response indicates the interval in seconds until a new lease can be acquired ']
chronological,chronological,ADJ,JJ,amod,True,False,1,[u'Lists the available billing periods for a subscription in reverse chronological order This is only supported for Azure Web Direct subscriptions Other subscription types which were not purchased directly through the Azure web portal are not supported through this preview API ']
resource,resource,NOUN,NNS,ROOT,True,False,116,[u'Group resources into availability sets ', u'Manage resource policy definitions ']
getcertificateversion,getcertificateversion,NOUN,NNS,compound,True,False,1,[u'List the versions of a certificate The GetCertificateVersions operation returns the versions of a certificate in the specified key vault ']
mesosphere,mesosphere,PROPN,NNP,compound,True,False,1,[u'Creates an SSH tunnel to the Azure container service and opens the Mesosphere DC OS dashboard in the browser ']
remove,remove,VERB,VB,relcl,True,False,58,[u'Updates the specified Data Lake Analytics account to remove an Azure Storage account ', u'Remove a secret from a VM ']
patch,patch,VERB,VBG,compound,True,False,9,[u'Gets the patching schedule of a redis cache requires Premium SKU ', u'Gets the patching schedule of a redis cache requires Premium SKU ']
default,default,NOUN,NNS,pobj,True,False,17,[u'Update the properties of a Batch job Unspecified properties which can be updated are reset to their defaults ', u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ']
syntactically,syntactically,ADV,RB,advmod,True,False,1,[u'Validate whether a template is syntactically correct ']
contain,contain,VERB,VBG,amod,True,False,34,[u'List stored access policies on a containing object', u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ']
release,release,VERB,VB,ROOT,True,False,18,[u'Release the lease The lease may be released if the lease_id specified matches that associated with the container Releasing the lease allows another client to immediately acquire the lease for the container as soon as the release is complete ', u'Release the lease The lease may be released if the lease_id specified matches that associated with the container Releasing the lease allows another client to immediately acquire the lease for the container as soon as the release is complete ']
automatic,automatic,ADJ,JJ,amod,True,False,9,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ', u'Manage automatic scaling of Batch pools ']
valid,valid,ADJ,JJ,amod,True,False,3,[u'Enables automatic scaling for a pool You cannot enable automatic scaling on a pool if a resize operation is in progress on the pool If automatic scaling of the pool is currently disabled you must specify a valid autoscale formula as part of the request If automatic scaling of the pool is already enabled you may specify a new autoscale formula and or a new evaluation interval You cannot call this API for the same pool more than once every 30 seconds ', u'Checks that the storage account name is valid and is not already in use ']
view,view,PROPN,NNP,compound,True,False,12,[u'View statistics of all jobs under a Batch account ', u'View all available CDN edge nodes ']
arp,arp,PROPN,NNP,compound,True,False,1,[u'Show the current Address Resolution Protocol ARP table of an ExpressRoute circuit ']
preserve,preserve,VERB,VB,conj,True,False,1,[u'Restores a backed up key to a vault Imports a previously backed up key into Azure Key Vault restoring the key its key identifier attributes and access control policies The RESTORE operation may be used to import a previously backed up key Individual versions of a key cannot be restored The key is restored in its entirety with the same key name as it had when it was backed up If the key name is not available in the target Key Vault the RESTORE operation will be rejected While the key name is retained during restore the final key identifier will change if the key is restored to a different vault Restore will restore all versions and preserve version identifiers The RESTORE operation is subject to security constraints The target Key Vault must be owned by the same Microsoft Azure Subscription as the source Key Vault The user must have RESTORE permission in the target Key Vault ']
set,set,NOUN,NNS,compound,True,False,144,[u'Sets user defined metadata on the specified queue Metadata is associated with the queue as name value pairs ', u'Create an empty PTR record set ']
disaster,disaster,PROPN,NNP,compound,True,False,17,[u'Disables Geo Disaster Recovery Configuration Alias and stops replicating changes from primary to secondary namespaces', u'Gets all Alias Disaster Recovery configurations ']
nodeinfo,nodeinfo,NOUN,NN,aux,True,False,2,[u'Lists all of the tasks that are associated with the specified job For multi instance tasks information such as affinityId executionInfo and nodeInfo refer to the primary task Use the list subtasks API to retrieve information about subtasks ', u'Gets information about the specified task For multi instance tasks information such as affinityId executionInfo and nodeInfo refer to the primary task Use the list subtasks API to retrieve information about subtasks ']
startup,startup,NOUN,NN,dobj,True,False,1,[u'Troubleshoot the startup of an Azure Virtual Machine ']
packet,packet,NOUN,NN,compound,True,False,7,[u'Stop a running packet capture session ', u'Manage packet capture sessions on VMs ']
up,up,PART,RP,prt,True,False,19,[u'Look up time zone information ', u'Update source control token cached in Azure app service If no token is provided the command will clean up existing token ']
relative,relative,ADJ,JJ,amod,True,False,1,[u'Check the availability of a relative DNS name ']
analytics,analytics,PROPN,NNP,compound,True,False,76,[u'Updates the specified Data Lake Analytics account to remove an Azure Storage account ', u'Update a firewall rule in a Data Lake Analytics account ']
see,see,VERB,VB,ROOT,True,False,5,[u'See catalog of available reservations', u'Gets the settings required for remote login to a compute node Before you can remotely login to a node using the remote login settings you must create a user account on the node This API can be invoked only on pools created with the virtual machine configuration property For pools created with a cloud service configuration see the GetRemoteDesktop API ']
full,full,ADJ,JJ,amod,True,False,5,[u'Aborts a pending copy_blob operation and leaves a destination blob with zero length and full metadata ', u'Retrieves a list of individual key versions with the same key name The full key identifier attributes and tags are provided in the response ']
migration,migration,NOUN,NN,compound,True,False,16,[u'Show the details of a migration Task Use the expand to get more details ', u'Manage Projects for an instance of the Data Migration Service ']
fail,fail,VERB,VB,ROOT,True,False,15,[u'Deletes a job Deleting a job also deletes all tasks that are part of that job and all job statistics This also overrides the retention period for task data that is if the job contains tasks which are still retained on compute nodes the Batch services deletes those tasks working directories and all their contents When a Delete Job request is received the Batch service sets the job to the deleting state All update operations on a job that is in deleting state will fail with status code 409 Conflict with additional information indicating that the job is being deleted ', u'Creates a new directory under the specified share or parent directory If the directory with the same name already exists the operation fails on the service By default the exception is swallowed by the client To expose the exception specify True for fail_on_exists ']
close,close,ADJ,JJ,amod,True,False,1,[u'Close access to the recovery point ']
stack,stack,NOUN,NNS,pobj,True,False,1,[u'List available built in stacks which can be used for web apps ']
arm,arm,PROPN,NNP,compound,True,False,2,[u'Get the details of an ARM template in a lab ', u'Manage Azure Resource Manager ARM templates in an Azure DevTest Lab ']
requeu,requeu,VERB,VBN,conj,True,False,2,[u'Deletes a pool from the specified account When you request that a pool be deleted the following actions occur the pool state is set to deleting any ongoing resize operation on the pool are stopped the Batch service starts resizing the pool to zero nodes any tasks running on existing nodes are terminated and requeued as if a resize pool operation had been requested with the default requeue option finally the pool is removed from the system Because running tasks are requeued the user can rerun these tasks by updating their job to target a different pool The tasks can then run on the new pool If you want to override the requeue behavior then you should call resize pool explicitly to shrink the pool to zero size before deleting the pool If you call an Update Patch or Delete API on a pool in the deleting state it will fail with HTTP status code 409 with error code PoolBeingDeleted ', u'Deletes a pool from the specified account When you request that a pool be deleted the following actions occur the pool state is set to deleting any ongoing resize operation on the pool are stopped the Batch service starts resizing the pool to zero nodes any tasks running on existing nodes are terminated and requeued as if a resize pool operation had been requested with the default requeue option finally the pool is removed from the system Because running tasks are requeued the user can rerun these tasks by updating their job to target a different pool The tasks can then run on the new pool If you want to override the requeue behavior then you should call resize pool explicitly to shrink the pool to zero size before deleting the pool If you call an Update Patch or Delete API on a pool in the deleting state it will fail with HTTP status code 409 with error code PoolBeingDeleted ']
getcertificates,getcertificates,PROPN,NNPS,compound,True,False,1,[u'List certificates in a specified key vault The GetCertificates operation returns the set of certificates resources in the specified key vault ']
preparation,preparation,NOUN,NN,pobj,True,False,5,[u'View the status of Batch job preparation and release tasks ', u'Lists the execution status of the Job Preparation and Job Release task for the specified job across the compute nodes where the job has run This API returns the Job Preparation and Job Release task status on all compute nodes that have run the Job Preparation or Job Release task This includes nodes which have since been removed from the pool If this API is invoked on a job which has no Job Preparation or Job Release task the Batch service returns HTTP status code 409 Conflict with an error code of JobPreparationTaskNotSpecified ']
autoscale,autoscale,NOUN,NN,compound,True,False,25,[u'Gets the result of evaluating an automatic scaling formula on the pool This API is primarily for validating an autoscale formula as it simply returns the result without applying the formula to the pool The pool must have auto scaling enabled in order to evaluate a formula ', u'Deletes and autoscale setting ']
extend,extend,VERB,VB,xcomp,True,False,2,[u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ', u'Updates the visibility timeout of a message You can also use this operation to update the contents of a message This operation can be used to continually extend the invisibility of a queue message This functionality can be useful if you want a worker role to lease a queue message For example if a worker role calls get_messages and recognizes that it needs more time to process a message it can continually extend the message s invisibility until it is processed If the worker role were to fail during processing eventually the message would become visible again and another worker role could process it If the key encryption key field is set on the local service object this method will encrypt the content before uploading ']
